ID_Trabajador,Edad,Ingreso_Mensual,Estado,Delegacion,Visitas_Promotor,Fecha_Ultimo_Contacto,Interes,Prob_Traspaso
EMP_0045,23,43920.11,México,Este,1,2024-07-18,Bajo,0.55
EMP_0046,41,61545.71,Coahuila,Oeste,0,2024-12-31,Medio,0.25
EMP_0047,49,33389.39,Chihuahua,Sur,5,2024-05-10,Bajo,0.45
EMP_0048,28,24859.22,Baja California Sur,Centro,2,2024-10-21,Bajo,0.6
EMP_0049,29,19490.84,Hidalgo,Oeste,3,2025-02-19,Medio,0.35
EMP_0050,56,11922.06,Sinaloa,Norte,3,2024-09-15,Alto,0.01
EMP_0051,35,38736.64,Durango,Este,6,2025-01-09,Bajo,0.2
EMP_0052,38,49522.83,Guanajuato,Sur,4,2024-09-03,Medio,0.05
EMP_0053,57,43856.37,Puebla,Norte,5,2025-04-05,Bajo,0.2
EMP_0054,61,19694.49,Coahuila,Sur,3,2025-02-20,Medio,0.1
EMP_0055,25,55024.32,Tlaxcala,Centro,2,2025-01-27,Bajo,0.45
EMP_0056,23,27466.26,Nayarit,Este,3,2024-09-20,Alto,0.15
EMP_0057,27,25266.6,México,Metropolitana,5,2024-06-02,Bajo,0.7
EMP_0058,63,27221.08,Nuevo León,Este,1,2024-06-16,Medio,0.2
EMP_0059,25,37472.54,Chihuahua,Centro,2,2024-06-08,Bajo,0.45
EMP_0060,50,20052.71,Puebla,Este,4,2024-05-19,Bajo,0.45
EMP_0061,39,35781.48,Hidalgo,Metropolitana,2,2024-12-23,Bajo,0.3
EMP_0062,47,43121.6,Tlaxcala,Oeste,3,2024-04-28,Bajo,0.3
EMP_0063,55,56552.78,Chihuahua,Sur,5,2024-10-31,Bajo,0.2
EMP_0064,31,38963.58,Morelos,Metropolitana,3,2024-07-09,Bajo,0.3
EMP_0065,57,21250.77,Oaxaca,Norte,1,2025-03-18,Medio,0.05
EMP_0066,35,38544.01,Baja California,Centro,3,2025-02-03,Medio,0.05
EMP_0067,52,23763.28,Hidalgo,Oeste,1,2024-09-08,Bajo,0.35
EMP_0068,36,23221.22,San Luis Potosí,Norte,2,2024-10-07,Medio,0.2
EMP_0069,29,21055.53,Tabasco,Norte,2,2024-05-16,Bajo,0.6
EMP_0070,35,16907.26,Guanajuato,Centro,1,2024-06-12,Medio,0.2
EMP_0071,44,28944.48,Sonora,Oeste,1,2024-12-11,Bajo,0.45
EMP_0072,61,57042.71,Zacatecas,Norte,2,2025-03-26,Medio,0.01
EMP_0073,42,89553.69,Tamaulipas,Norte,7,2024-07-31,Bajo,0.2
EMP_0074,37,28870.22,Campeche,Oeste,3,2024-06-22,Alto,0.01
EMP_0075,39,56074.82,San Luis Potosí,Este,3,2025-03-23,Bajo,0.3
EMP_0076,45,31013.17,Guanajuato,Norte,3,2025-03-05,Bajo,0.45
EMP_0077,47,18764.19,Zacatecas,Sur,4,2025-03-07,Bajo,0.45
EMP_0078,46,48068.24,Morelos,Oeste,1,2025-02-25,Alto,0.01
EMP_0079,62,39891.78,Campeche,Norte,4,2024-10-13,Medio,0.01
EMP_0080,50,75147.48,San Luis Potosí,Centro,2,2025-01-29,Medio,0.05
EMP_0081,36,19655.82,Guerrero,Metropolitana,2,2024-09-17,Alto,0.01
EMP_0082,22,111125.23,Zacatecas,Sur,0,2024-10-13,Alto,0.2
EMP_0083,46,68643.86,Zacatecas,Metropolitana,1,2024-12-28,Medio,0.05
EMP_0084,28,36056.07,Querétaro,Metropolitana,2,2024-10-08,Bajo,0.45
EMP_0085,30,32226.52,Chiapas,Norte,2,2024-07-24,Alto,0.01
EMP_0086,45,27273.64,Quintana Roo,Sur,5,2025-01-18,Bajo,0.45
EMP_0087,22,37945.0,Baja California Sur,Sur,4,2024-05-25,Medio,0.2
EMP_0088,29,33739.53,Aguascalientes,Este,2,2024-05-18,Medio,0.35
EMP_0089,45,44601.29,Tabasco,Metropolitana,2,2024-11-28,Medio,0.05
EMP_0090,32,32281.62,Coahuila,Sur,3,2024-05-03,Medio,0.2
EMP_0091,38,63958.23,Hidalgo,Este,5,2024-05-13,Medio,0.05
EMP_0092,29,38178.14,Zacatecas,Oeste,1,2025-01-09,Alto,0.01
EMP_0093,56,32770.15,Guerrero,Este,2,2024-05-23,Bajo,0.3
EMP_0094,56,54705.23,Guanajuato,Centro,3,2024-08-12,Bajo,0.2
EMP_0095,54,18977.14,Veracruz,Norte,0,2025-01-14,Medio,0.3
EMP_0096,26,41622.47,Campeche,Oeste,2,2025-02-14,Alto,0.01
EMP_0097,63,36688.86,Sinaloa,Oeste,5,2025-03-17,Bajo,0.2
EMP_0098,60,20653.91,Zacatecas,Centro,2,2025-02-01,Bajo,0.35
EMP_0099,62,18335.58,Tlaxcala,Este,3,2024-07-18,Bajo,0.35
EMP_0100,49,54401.01,Querétaro,Norte,2,2025-03-21,Bajo,0.3
EMP_0101,28,53375.99,Guanajuato,Este,0,2024-12-23,Alto,0.2
EMP_0102,30,38910.65,Colima,Sur,7,2024-06-18,Medio,0.01
EMP_0103,29,72161.58,Tabasco,Este,5,2025-02-17,Medio,0.2
EMP_0104,33,43320.76,Tlaxcala,Oeste,0,2024-09-03,Medio,0.25
EMP_0105,55,59869.48,Nayarit,Norte,3,2024-12-15,Medio,0.01
EMP_0106,54,42964.52,Colima,Este,8,2024-10-17,Bajo,0.1
EMP_0107,44,32522.13,Campeche,Norte,4,2024-06-30,Bajo,0.45
EMP_0108,45,23789.21,Baja California Sur,Norte,3,2024-07-07,Bajo,0.45
EMP_0109,58,28527.55,San Luis Potosí,Sur,2,2024-10-07,Bajo,0.35
EMP_0110,56,32766.14,México,Sur,4,2025-02-07,Bajo,0.45
EMP_0111,61,62646.38,Veracruz,Oeste,5,2024-06-20,Bajo,0.2
EMP_0112,43,49412.95,San Luis Potosí,Centro,3,2024-08-08,Bajo,0.3
EMP_0113,48,41445.21,Chihuahua,Norte,0,2025-01-28,Bajo,0.5
EMP_0114,56,51431.39,Puebla,Centro,2,2024-11-28,Medio,0.01
EMP_0115,22,44844.38,México,Oeste,4,2024-11-01,Bajo,0.55
EMP_0116,56,40326.94,Nuevo León,Norte,5,2024-08-24,Alto,0.01
EMP_0117,58,19941.06,San Luis Potosí,Norte,2,2024-08-02,Bajo,0.35
EMP_0118,35,57277.49,Sonora,Metropolitana,3,2024-06-24,Medio,0.05
EMP_0119,24,30230.16,Tamaulipas,Centro,1,2024-10-26,Alto,0.15
EMP_0120,22,56129.46,Colima,Este,4,2024-06-01,Alto,0.01
EMP_0121,26,58342.38,Aguascalientes,Sur,5,2024-10-22,Alto,0.01
EMP_0122,47,27777.58,San Luis Potosí,Este,2,2024-05-04,Bajo,0.45
EMP_0123,35,53097.57,Campeche,Centro,4,2025-03-27,Bajo,0.3
EMP_0124,60,31432.73,Guanajuato,Sur,5,2025-02-03,Bajo,0.35
EMP_0125,48,31507.69,Aguascalientes,Este,2,2024-05-11,Bajo,0.45
EMP_0126,30,40254.99,Quintana Roo,Metropolitana,2,2024-12-19,Bajo,0.3
EMP_0127,36,40692.09,Chihuahua,Sur,6,2025-01-24,Alto,0.01
EMP_0128,36,36879.85,Querétaro,Norte,0,2025-03-30,Medio,0.25
EMP_0129,47,21296.22,Zacatecas,Este,3,2024-10-20,Medio,0.2
EMP_0130,63,34593.51,Baja California Sur,Sur,3,2024-07-19,Alto,0.01
EMP_0131,34,90345.05,Baja California Sur,Metropolitana,4,2024-12-16,Medio,0.05
EMP_0132,53,11925.07,Guerrero,Sur,10,2024-06-19,Medio,0.05
EMP_0133,60,51425.85,Tamaulipas,Sur,5,2024-10-08,Medio,0.01
EMP_0134,53,55428.54,Coahuila,Metropolitana,4,2025-02-16,Bajo,0.2
EMP_0135,25,21092.25,Hidalgo,Este,3,2024-09-27,Bajo,0.6
EMP_0136,51,30098.31,Baja California Sur,Oeste,1,2025-03-28,Alto,0.01
EMP_0137,58,24336.03,Sinaloa,Este,2,2024-06-30,Alto,0.01
EMP_0138,44,76235.78,Jalisco,Centro,4,2025-02-18,Alto,0.01
EMP_0139,60,56455.62,Sinaloa,Metropolitana,4,2024-07-19,Bajo,0.2
EMP_0140,36,57559.25,Veracruz,Este,2,2024-06-15,Alto,0.01
EMP_0141,64,38111.03,Colima,Sur,1,2025-01-17,Bajo,0.2
EMP_0142,50,61379.84,Tabasco,Metropolitana,2,2024-05-31,Bajo,0.3
EMP_0143,57,36196.05,Baja California,Norte,2,2025-03-16,Bajo,0.2
EMP_0144,34,62546.34,Tlaxcala,Este,1,2025-03-23,Bajo,0.3
EMP_0145,53,34218.49,Querétaro,Metropolitana,3,2024-05-28,Bajo,0.35
EMP_0146,28,27675.51,Tlaxcala,Este,1,2024-07-03,Bajo,0.6
EMP_0147,43,74935.28,Aguascalientes,Metropolitana,1,2025-02-25,Bajo,0.3
EMP_0148,49,36013.91,Chihuahua,Sur,4,2025-04-09,Bajo,0.3
EMP_0149,23,25348.63,Jalisco,Norte,4,2024-08-07,Medio,0.45
EMP_0150,63,25239.02,Hidalgo,Norte,3,2024-11-02,Medio,0.1
EMP_0151,27,25269.88,Colima,Centro,2,2024-09-24,Bajo,0.6
EMP_0152,49,50908.08,Hidalgo,Metropolitana,4,2025-01-03,Bajo,0.3
EMP_0153,49,34907.43,Campeche,Este,4,2025-02-02,Medio,0.2
EMP_0154,41,91051.78,Jalisco,Norte,5,2024-11-02,Medio,0.15
EMP_0155,51,58364.98,Sonora,Norte,4,2024-10-23,Bajo,0.2
EMP_0156,32,40249.6,Michoacán,Oeste,1,2024-11-24,Medio,0.05
EMP_0157,49,63675.75,Aguascalientes,Oeste,2,2024-11-27,Alto,0.01
EMP_0158,46,29786.1,México,Norte,1,2025-02-07,Bajo,0.55
EMP_0159,60,17293.49,Aguascalientes,Metropolitana,1,2024-09-28,Bajo,0.35
EMP_0160,54,24444.65,Yucatán,Centro,4,2024-05-21,Bajo,0.35
EMP_0161,22,38518.08,Campeche,Norte,2,2024-08-29,Medio,0.2
EMP_0162,48,33222.53,Quintana Roo,Sur,2,2024-07-07,Bajo,0.45
EMP_0163,34,50501.9,Zacatecas,Este,3,2024-10-24,Bajo,0.3
EMP_0164,62,34549.71,Tabasco,Centro,0,2024-06-02,Bajo,0.55
EMP_0165,24,48982.28,Quintana Roo,Sur,2,2025-03-05,Alto,0.01
EMP_0166,60,66196.88,Tamaulipas,Centro,1,2025-04-07,Medio,0.01
EMP_0167,27,34507.14,Zacatecas,Sur,1,2024-10-22,Medio,0.35
EMP_0168,29,45345.13,Puebla,Este,6,2024-11-14,Alto,0.01
EMP_0169,48,17999.25,Nuevo León,Este,1,2024-09-15,Bajo,0.55
EMP_0170,30,34559.66,Puebla,Oeste,2,2024-06-16,Alto,0.01
EMP_0171,58,22186.0,Nayarit,Metropolitana,5,2025-01-18,Medio,0.1
EMP_0172,54,38487.57,Puebla,Sur,2,2024-08-04,Bajo,0.2
EMP_0173,63,39910.71,México,Oeste,0,2025-03-24,Alto,0.05
EMP_0174,45,39857.69,Coahuila,Sur,4,2024-07-31,Alto,0.01
EMP_0175,36,29969.96,Campeche,Oeste,5,2025-03-12,Alto,0.01
EMP_0176,53,91070.35,Baja California Sur,Este,3,2024-07-28,Bajo,0.2
EMP_0177,53,21868.26,Durango,Centro,6,2024-08-23,Alto,0.01
EMP_0178,45,21340.07,Baja California,Oeste,1,2025-04-11,Alto,0.01
EMP_0179,62,70403.01,Nuevo León,Sur,1,2024-05-02,Bajo,0.3
EMP_0180,33,27399.73,Durango,Sur,2,2024-06-10,Bajo,0.45
EMP_0181,60,24887.57,Tabasco,Metropolitana,2,2024-08-30,Bajo,0.35
EMP_0182,23,91232.34,Baja California Sur,Este,4,2024-07-04,Alto,0.01
EMP_0183,24,53867.85,Colima,Sur,0,2025-02-03,Medio,0.4
EMP_0184,58,28630.11,San Luis Potosí,Norte,1,2024-06-05,Bajo,0.35
EMP_0185,38,39616.59,Oaxaca,Centro,4,2024-04-15,Bajo,0.25
EMP_0186,23,79090.54,Baja California,Oeste,1,2024-08-03,Bajo,0.45
EMP_0187,23,47889.34,Tlaxcala,Metropolitana,3,2024-11-21,Medio,0.2
EMP_0188,49,60746.17,Tlaxcala,Centro,4,2025-03-21,Bajo,0.3
EMP_0189,44,50107.26,Guerrero,Este,6,2024-08-23,Alto,0.01
EMP_0190,58,52685.8,Guerrero,Metropolitana,2,2024-05-16,Medio,0.01
EMP_0191,53,36897.41,Zacatecas,Oeste,2,2024-10-21,Medio,0.01
EMP_0192,54,36480.73,Puebla,Oeste,3,2024-05-17,Bajo,0.2
EMP_0193,22,40409.5,Nayarit,Norte,4,2024-05-24,Bajo,0.45
EMP_0194,40,48716.89,Tabasco,Este,3,2024-04-22,Bajo,0.3
EMP_0195,23,32424.64,Durango,Metropolitana,3,2024-11-06,Bajo,0.6
EMP_0196,47,38132.48,México,Metropolitana,3,2024-05-01,Bajo,0.4
EMP_0197,53,32075.95,Durango,Sur,2,2024-05-01,Alto,0.01
EMP_0198,27,38035.45,Sonora,Norte,5,2024-07-02,Bajo,0.45
EMP_0199,53,22017.69,Nuevo León,Norte,2,2025-03-27,Bajo,0.45
EMP_0200,25,102990.39,Querétaro,Metropolitana,1,2025-03-01,Bajo,0.45
EMP_0201,32,27087.4,Colima,Metropolitana,3,2024-11-10,Bajo,0.45
EMP_0202,38,31426.78,Coahuila,Centro,4,2024-04-24,Alto,0.01
EMP_0203,59,26168.04,Morelos,Centro,2,2024-08-26,Bajo,0.35
EMP_0204,45,46457.05,San Luis Potosí,Centro,2,2024-06-02,Bajo,0.3
EMP_0205,26,33577.08,Nayarit,Norte,2,2024-09-01,Medio,0.35
EMP_0206,55,24697.99,Baja California,Sur,3,2024-09-09,Bajo,0.35
EMP_0207,27,47228.53,Tamaulipas,Oeste,1,2025-02-17,Bajo,0.45
EMP_0208,43,49844.31,Baja California Sur,Centro,2,2025-03-14,Bajo,0.3
EMP_0209,32,35356.92,Yucatán,Sur,0,2024-04-22,Bajo,0.5
EMP_0210,37,27848.92,Aguascalientes,Este,2,2025-02-14,Bajo,0.45
EMP_0211,54,87240.71,Quintana Roo,Centro,2,2024-04-26,Bajo,0.2
EMP_0212,30,41607.14,Baja California Sur,Oeste,2,2024-08-22,Alto,0.01
EMP_0213,27,21815.42,Veracruz,Este,4,2024-12-28,Bajo,0.6
EMP_0214,37,63934.61,Michoacán,Este,2,2024-10-05,Medio,0.05
EMP_0215,50,25788.66,Chiapas,Oeste,3,2025-03-27,Medio,0.15
EMP_0216,24,108743.95,Guerrero,Centro,2,2024-08-31,Medio,0.15
EMP_0217,41,37491.26,Chihuahua,Norte,5,2024-10-29,Bajo,0.3
EMP_0218,57,54465.7,Chihuahua,Oeste,0,2025-02-02,Bajo,0.4
EMP_0219,40,15803.6,Yucatán,Oeste,4,2024-04-17,Medio,0.2
EMP_0220,47,21727.71,México,Oeste,2,2025-02-19,Medio,0.3
EMP_0221,24,61916.62,Sonora,Este,6,2024-08-12,Medio,0.1
EMP_0222,40,41238.44,Puebla,Sur,2,2024-04-29,Bajo,0.3
EMP_0223,41,82203.94,Querétaro,Norte,2,2025-01-28,Alto,0.01
EMP_0224,53,44093.61,Chiapas,Centro,1,2025-03-10,Bajo,0.15
EMP_0225,28,38488.64,Colima,Centro,1,2024-07-21,Bajo,0.45
EMP_0226,62,72072.63,Sonora,Sur,2,2024-06-01,Bajo,0.2
EMP_0227,54,54396.48,Zacatecas,Oeste,1,2024-06-18,Bajo,0.2
EMP_0228,61,33573.61,Durango,Norte,5,2024-12-14,Bajo,0.35
EMP_0229,60,23443.73,Durango,Centro,3,2024-05-25,Medio,0.1
EMP_0230,39,14063.72,Michoacán,Metropolitana,2,2025-03-20,Alto,0.1
EMP_0231,61,30483.28,Zacatecas,Centro,3,2024-11-05,Alto,0.01
EMP_0232,22,22594.59,Durango,Oeste,2,2025-01-20,Bajo,0.6
EMP_0233,32,102650.15,Jalisco,Metropolitana,2,2024-12-21,Medio,0.15
EMP_0234,49,27996.97,Tlaxcala,Sur,1,2024-09-03,Bajo,0.45
EMP_0235,46,27692.49,Aguascalientes,Norte,7,2024-10-30,Bajo,0.35
EMP_0236,44,19761.72,Baja California,Sur,2,2024-10-05,Bajo,0.45
EMP_0237,52,32645.85,Oaxaca,Sur,4,2024-10-21,Bajo,0.3
EMP_0238,51,27838.8,Veracruz,Norte,6,2025-04-13,Bajo,0.25
EMP_0239,63,72772.38,Colima,Norte,3,2024-08-28,Bajo,0.2
EMP_0240,56,38847.17,Michoacán,Centro,1,2025-01-18,Medio,0.01
EMP_0241,28,36186.97,México,Centro,2,2025-02-11,Alto,0.1
EMP_0242,37,34410.98,Michoacán,Norte,1,2024-05-29,Bajo,0.45
EMP_0243,47,49735.29,Puebla,Metropolitana,0,2024-09-20,Alto,0.05
EMP_0244,23,30305.02,Michoacán,Este,1,2024-12-30,Medio,0.35
EMP_0245,22,47423.94,México,Centro,4,2024-05-31,Medio,0.3
EMP_0246,33,69257.58,Michoacán,Este,4,2024-06-27,Medio,0.05
EMP_0247,26,43653.12,Oaxaca,Metropolitana,6,2024-08-07,Bajo,0.3
EMP_0248,58,32863.16,Nayarit,Norte,1,2025-04-01,Alto,0.01
EMP_0249,53,24800.43,Tamaulipas,Metropolitana,5,2024-11-02,Medio,0.1
EMP_0250,30,32531.05,Baja California,Centro,7,2025-03-02,Alto,0.01
EMP_0251,62,45489.26,Tabasco,Sur,2,2024-12-24,Medio,0.01
EMP_0252,56,19672.74,Tamaulipas,Norte,2,2024-09-21,Alto,0.01
EMP_0253,40,50646.08,Durango,Oeste,1,2024-08-01,Medio,0.05
EMP_0254,37,39460.09,Michoacán,Este,3,2024-06-11,Bajo,0.3
EMP_0255,24,34211.75,México,Metropolitana,4,2024-11-21,Bajo,0.7
EMP_0256,41,27895.89,Coahuila,Norte,3,2024-11-19,Bajo,0.45
EMP_0257,45,30014.89,Jalisco,Metropolitana,2,2024-06-17,Bajo,0.55
EMP_0258,54,46116.33,Baja California,Norte,2,2024-11-01,Bajo,0.2
EMP_0259,45,34500.03,Durango,Centro,2,2024-10-27,Alto,0.01
EMP_0260,32,29719.06,Tabasco,Centro,4,2024-06-20,Medio,0.2
EMP_0261,29,43801.59,Durango,Centro,6,2024-08-24,Alto,0.01
EMP_0262,57,44501.4,Tabasco,Metropolitana,1,2024-07-17,Alto,0.01
EMP_0263,59,22033.74,Nayarit,Oeste,5,2025-02-13,Medio,0.1
EMP_0264,61,45642.4,Tlaxcala,Centro,0,2024-06-22,Alto,0.01
EMP_0265,41,98782.85,Nuevo León,Norte,4,2024-08-22,Medio,0.15
EMP_0266,56,43820.12,Aguascalientes,Centro,4,2024-10-31,Alto,0.01
EMP_0267,46,18405.36,Querétaro,Sur,5,2024-10-02,Bajo,0.45
EMP_0268,56,38985.7,Baja California,Centro,1,2024-08-23,Bajo,0.2
EMP_0269,46,17460.11,México,Metropolitana,5,2024-10-13,Bajo,0.55
EMP_0270,50,128920.17,Veracruz,Oeste,2,2024-05-16,Medio,0.05
EMP_0271,39,88811.36,Chihuahua,Sur,2,2024-08-25,Medio,0.05
EMP_0272,39,27823.18,Jalisco,Metropolitana,6,2024-04-18,Bajo,0.45
EMP_0273,23,14790.39,San Luis Potosí,Metropolitana,1,2024-12-28,Bajo,0.7
EMP_0274,56,25556.62,Tlaxcala,Metropolitana,3,2024-09-03,Alto,0.01
EMP_0275,37,33779.31,Querétaro,Norte,5,2025-01-24,Medio,0.2
EMP_0276,62,17948.37,Durango,Metropolitana,3,2024-08-23,Bajo,0.35
EMP_0277,57,35326.58,Querétaro,Norte,0,2024-10-12,Medio,0.15
EMP_0278,54,33690.41,Guanajuato,Metropolitana,4,2024-10-11,Medio,0.1
EMP_0279,25,38179.8,San Luis Potosí,Este,2,2024-12-01,Alto,0.01
EMP_0280,54,39809.39,Yucatán,Sur,1,2024-09-06,Bajo,0.2
EMP_0281,35,24680.11,San Luis Potosí,Este,6,2024-06-30,Bajo,0.35
EMP_0282,42,25813.02,Tamaulipas,Metropolitana,5,2024-04-15,Bajo,0.45
EMP_0283,41,36983.86,Aguascalientes,Sur,4,2024-09-24,Bajo,0.3
EMP_0284,29,28214.83,San Luis Potosí,Sur,1,2024-11-19,Alto,0.15
EMP_0285,28,52208.36,Tabasco,Oeste,2,2024-05-25,Bajo,0.45
EMP_0286,24,36840.68,Baja California,Este,2,2024-12-08,Alto,0.01
EMP_0287,38,76573.11,Tlaxcala,Oeste,2,2024-11-30,Bajo,0.3
EMP_0288,54,50422.51,Colima,Sur,2,2024-12-21,Alto,0.01
EMP_0289,33,56471.17,Querétaro,Norte,0,2024-07-24,Bajo,0.5
EMP_0290,43,38293.15,Sonora,Sur,8,2025-02-09,Alto,0.01
EMP_0291,43,38674.84,Querétaro,Oeste,4,2024-11-30,Alto,0.01
EMP_0292,51,72586.06,Baja California Sur,Este,2,2025-03-04,Alto,0.01
EMP_0293,59,31215.9,Oaxaca,Metropolitana,3,2024-06-22,Bajo,0.3
EMP_0294,59,45193.64,Nuevo León,Metropolitana,4,2025-04-11,Bajo,0.3
EMP_0295,29,32646.89,Tlaxcala,Este,3,2024-10-02,Medio,0.35
EMP_0296,48,32615.59,Jalisco,Metropolitana,5,2024-12-25,Bajo,0.55
EMP_0297,48,22752.75,Guanajuato,Metropolitana,6,2024-09-05,Bajo,0.35
EMP_0298,55,26983.86,Sinaloa,Oeste,9,2025-04-10,Bajo,0.25
EMP_0299,42,25051.58,Jalisco,Este,4,2024-08-13,Medio,0.3
EMP_0300,51,46062.18,Querétaro,Centro,5,2024-10-30,Medio,0.01
EMP_0301,54,55054.69,Querétaro,Norte,3,2025-03-19,Bajo,0.2
EMP_0302,49,34964.85,Tlaxcala,Norte,2,2025-03-28,Bajo,0.45
EMP_0303,54,39809.11,Oaxaca,Metropolitana,1,2024-09-10,Bajo,0.15
EMP_0304,26,34166.86,Morelos,Norte,3,2025-01-12,Medio,0.35
EMP_0305,40,26257.05,Chiapas,Este,2,2025-03-14,Bajo,0.4
EMP_0306,25,51272.26,Campeche,Este,3,2024-09-21,Bajo,0.45
EMP_0307,56,47146.44,Chiapas,Sur,3,2024-09-19,Alto,0.01
EMP_0308,38,17034.26,Chihuahua,Sur,4,2024-12-28,Alto,0.01
EMP_0309,49,32427.31,Puebla,Norte,1,2024-11-19,Alto,0.01
EMP_0310,51,25519.27,San Luis Potosí,Centro,4,2025-01-03,Alto,0.01
EMP_0311,50,31058.4,Nayarit,Sur,2,2024-05-31,Bajo,0.45
EMP_0312,27,27773.22,Tabasco,Sur,3,2024-08-16,Medio,0.35
EMP_0313,56,35647.41,Zacatecas,Este,2,2024-08-10,Bajo,0.2
EMP_0314,62,31825.85,Tabasco,Centro,2,2024-11-02,Medio,0.1
EMP_0315,58,31556.78,Quintana Roo,Metropolitana,4,2024-10-23,Bajo,0.35
EMP_0316,45,56554.24,Nayarit,Norte,4,2025-03-10,Medio,0.05
EMP_0317,50,45382.03,México,Sur,7,2024-07-04,Medio,0.05
EMP_0318,52,27403.94,Baja California Sur,Centro,0,2024-04-20,Bajo,0.55
EMP_0319,56,29079.28,Jalisco,Centro,2,2024-04-21,Medio,0.2
EMP_0320,54,44210.48,Veracruz,Norte,1,2025-03-24,Bajo,0.2
EMP_0321,42,44186.2,Tabasco,Centro,5,2024-06-10,Bajo,0.3
EMP_0322,53,28523.62,Coahuila,Centro,2,2024-11-02,Bajo,0.35
EMP_0323,44,33070.73,Michoacán,Centro,0,2025-01-07,Bajo,0.65
EMP_0324,54,76017.77,Tabasco,Sur,1,2024-06-11,Bajo,0.2
EMP_0325,24,28720.91,Baja California Sur,Norte,4,2024-05-10,Alto,0.15
EMP_0326,39,77988.9,Jalisco,Centro,6,2025-02-18,Bajo,0.3
EMP_0327,46,56470.11,Tamaulipas,Centro,1,2024-05-16,Bajo,0.3
EMP_0328,63,72414.84,Jalisco,Sur,2,2024-12-08,Bajo,0.3
